SpeciesName,AntherSize,CalyxSize,CorollaSize,DiskFloretSize,FlowerSize,FruitSize,Glumes,InflorescenceSize,LeafSize,Lemma,LobesSize,Lodicules,OvarySize,Palea,PappusSize,PedicelSize,PetalSize,PetioleSize,RayFloretsSize,SeedSize,SepalSize,StamenSize,Stature,StigmaSize,StyleSize,TubeSize,UtricleSize
daucus-glochidiatus,,,,,1mm,3-5mm,,170mm,4-6mm,,,,,,,,,10-150mm,,,,,,,,,
eryngium-vesiculosum,,,,,,,,,,,,,,,,,,,,,,,,,,,
gingidia-amphistoma,,,,,,,,,,,,,,,,,,,,,,,,,,,
gingidia-baxterae,,,,,,,,50-170mm; 1.0-1.5mm,30-100x8-30mm; 3-12x3-10mm,,,,,,,,,10-20x0.5-2.0mm,,,,,100x100mm,,0.75-2.00mm; 2.5-5.0mm,,
gingidia-decipiens,,,,,,,,80-200mm; 0.75-2.0mm,40-180x5-40mm; 4-24x3-16mm; 5mm,,,,,,,,,10-80x0.75-1.5mm; 6-20x3-7mm,,,,,,,1.5-3.0mm; 3.2-6.0mm,,
gingidia-enysii,,,,,,,,,,,,,,,,,,,,,,,,,,,
gingidia-flabellata,,,,,,,,20-60mm; 0.75-2.50mm,45-55x1.0-15mm,,,,,,,,,10-20x0.75-1.5mm,,,,,,,1.0-1.5mm; 2.5-3.0mm,,
gingidia-grisea,,,,,1.5-3.5mm; 2.6-4.2mm,,,27-87mm,10-50x55mm; 12-60mm; 11-18x5-5.75mm,,,,,,,,,70-300mm,,3.9-4.1x0.9-1mm,,,,,,,
gingidia-haematitica,,,,,,,,,,,,,,,,,,,,,,,,,,,
gingidia-montana,,,,,,,,250-800mm; 35-80mm,150-800x30-150mm; 15-80x15-65mm,,,,,,,,,70-380x2.5-6.0mm,,,,,,,1.5-3.5mm; 4-8mm,,
gingidia-trifoliolata,,,,,,6.5mm,,100-200mm,10-12x10-17mm,,,,,,,,,100mm,,,,,450mm,,,,
lignocarpa-carnosula,,,,,,,,,,,,,,,,,,,,,,,,,,,
lilaeopsis-novae-zelandiae,,,,,,,,,,,,,,,,,,,,,,,,,,,
scandia-geniculata,,,,,,,,10mm; 20mm,12mm,,,,,,,,,10mm,,4.5-7.5mm,,,3x3m,,,,
scandia-rosifolia,,,,,,,,30mm; 800mm,25-80x10-40mm,,,,,,,,,,,3-4.5mm,,,1x1m,,,,
stilbocarpa-lyallii,,,,,,,,,,,,,,,,,,,,,,,,,,,
stilbocarpa-polaris,,,,,,,,,,,,,,,,,,,,,,,,,,,
stilbocarpa-robusta,,,,,,,,,,,,,,,,,,,,,,,,,,,
parsonsia-capsularis,,,,,,,,,,,,,,,,,,,,,,,,,,,
parsonsia-heterophylla,,,,,,,,,,,,,,,,,,,,,,,,,,,
lemna-aequinoctialis,,,,,,,,,,,,,,,,,,,,,,,,,,,
lemna-disperma,,,,,,,,,,,,,,,,,,,,,,,,,,,
lemna-minor,,,,,,,,,,,,,,,,,,,,,,,,,,,
wolffia-australiana,,,,,,,,,,,,,,,,,,,,,,,,,,,
hydrocotyle-dissecta,,,,,,,,,,,,,,,,,,,,,,,,,,,
hydrocotyle-elongata,,,,,,,,,,,,,,,,,,,,,,,,,,,
hydrocotyle-heteromeria,,,,,,,,,,,,,,,,,,,,,,,,,,,
hydrocotyle-hydrophila,,,,,,,,,,,,,,,,,,,,,,,,,,,
hydrocotyle-moschata,,,,,,,,,,,,,,,,,,,,,,,,,,,
hydrocotyle-novae-zeelandiae,,,,,,,,,,,,,,,,,,,,,,,,,,,
hydrocotyle-pterocarpa,,,,,,,,,,,,,,,,,,,,,,,,,,,
hydrocotyle-robusta,,,,,,,,,,,,,,,,,,,,,,,,,,,
hydrocotyle-sulcata,,,,,,,,,,,,,,,,,,,,,,,,,,,
pseudopanax-arboreus,,,,,5mm,5-8mm,,,10-20x4-7cm,,,,,,,,,15-20cm,,3-6mm,,,8m,,,,
pseudopanax-colensoi,,,,,,,,,,,,,,,,,,,,,,,,,,,
pseudopanax-crassifolius,,,,,,4-5mm,,,1m; 10-20x2-3cm,,,,,,,,,10mm,,2.2-3.5mm,,,15m,,,,
pseudopanax-discolor,,,,,3-8cm; 2-5cm,6.5mm,,,4-8x1.5-2.5cm; 5mm,,,,,,,,,2-8cm,,4.5-5.5mm,,,5m,,,,
pseudopanax-ferox,,,,,10-30mm,8-9mm,,30-50mm,15-40x3-6mm; 100-500x6-15mm; 50-150x10-20mm,,,,,,,,,10-20mm,,,,,8m,,,,
pseudopanax-gilliesii,,,,,,6x5mm,,,4-8cm,,,,,,,,,2-8cm; 14cm,,5.5-6.5mm,,,5m,,,,
pseudopanax-kermadecensis,,,,,1cm,5mm,,,10-15x3.5-7cm,,,,,,,,,15cm,,3.5-4.2mm,,,10m; 1m,,,,
pseudopanax-laetus,,,,,,5mm,,,12-25x5-10cm,,,,,,,,,25cm,,3.4-4.7mm,,,5m,,,,
pseudopanax-lessonii,,,,,4-5cm,7x5mm,,,5-10x2-4cm,,,,,,,,,15cm,,5.5-8.0mm,,,6m,,,,
pseudopanax-linearis,,,,,,4x8mm,,,15-25x0.5-1cm; 5-10x0.75-1cm,,,,,,,,,5mm,,4.0-5.5mm,,,3m,,,,
pseudopanax-macintyrei,,,,,,3-6mm,,,5-9mm; 30-80x15-25mm; 1.5-2mm,,,,,,,1.5-4mm,,20-100mm,,,,,5x5m; 0.3m,,,,
raukaua-anomalus,,,,,,4-5mm,,,2.5cmx5mm; 1-2x1-1.5cm,,,,,,,,,,,2.4-3.8mm,,,3m,,,,
raukaua-edgerleyi,,,,,4-5mm,3-4mm,,,10cm; 1.5-5cm; 5-15x1.5-3.5cm; 5-10cm,,,,,,,,,,,2.0-3.4mm,,,10-12m,,,,
raukaua-simplex,,,,,,,,,4-15cm; 5-8cm; 5-10x1.5-4cm,,,,,,,,,10cm; 6cm; 3-8cm,,,,,8m,,,,
schefflera-digitata,,,,,7mm,,,,20cm,,,,,,,,,25cm,,2-2.5mm,,,8m,,,,
rhopalostylis-baueri,,,,,,13x12mm,,300mm; 15mm,3m; 1m; 40mm,,,,,,,,,,,,,,15m; 0.35m,,,,
rhopalostylis-sapida,,,,,,10x7mm,,200-400mm,3m; 1m,,,,,,,,,,,,,,,,,,
corokia-buddleioides,,2-3mm,,,7-10mm,6-7mm,,50mm,50-150x10-30mm,,,,,,,,5mm,10mm,,,,,3m,,,,
corokia-cotoneaster,,1-1.5mm,,,5-8mm,5-8mm,,,2-15x2-10mm,,,,,,,,4-5mm,20mm,,,,,3m,,,,
arthropodium-bifurcatum,,,,,,,,,,,,,,,,,,,,,,,,,,,
arthropodium-candidum,,,,,,,,,,,,,,,,,,,,,,,,,,,
arthropodium-cirratum,,,,,,,,,,,,,,,,,,,,,,,,,,,
cordyline-australis,,,,,5-6mm,,,1x0.3-0.6m,0.3-1x0.3m; 100-200mmx20mm,,,,,,,,,,,,,,20m; 1.5-2m,,,,
cordyline-banksii,,,,,10mm,4-5mm,,1-2m; 150-300mm; 200mm,100-200x4-8cm,,,,,,,,,,,2mm,,,4m,,,,
cordyline-indivisa,,,,,7-8mm,6mm,,0.6-1.6x0.3m; 100-200mmx20mm,1-2x0.1-0.15m,,,,,,,2-3mm,,,,2mm,,,8m,,,,
cordyline-obtecta,,,,,5-6mm,4mm,,0.8-1.0m; 100-200mm; 20mm,60-0.65-1.0x0.055-0.07mm,,,,,,,,,,,3.5mm,,,6m,,,2mm,
cordyline-pumilio,,,,,4-5mm,4-5mm,,0.1x0.8m; 50-300mm,0.30-0.60-1.00x0.01-0.02m,,,,,,,3-5mm,,,,2.0-2.5mm,,,1m; 2m,,,,
astelia-fragrans,,,,,,,,,,,,,,,,,,,,,,,,,,,
astelia-graminea,,,,,,,,,,,,,,,,,,,,,,,,,,,
astelia-grandis,,,,,,,,,,,,,,,,,,,,,,,,,,,
astelia-hastata,,,,,,,,,,,,,,,,,,,,,,,,,,,
astelia-linearis,,,,,,,,,,,,,,,,,,,,,,,,,,,
astelia-microsperma,,,,,,,,,,,,,,,,,,,,,,,,,,,
astelia-nervosa,,,,,,,,,,,,,,,,,,,,,,,,,,,
astelia-nivicola,,,,,,,,,,,,,,,,,,,,,,,,,,,
astelia-petriei,,,,,,,,,,,,,,,,,,,,,,,,,,,
astelia-skottsbergii,,,,,,,,,,,,,,,,,,,,,,,,,,,
astelia-solandri,,,,,,,,,,,,,,,,,,,,,,,,,,,
astelia-subulata,,,,,,,,,,,,,,,,,,,,,,,,,,,
astelia-trinervia,,,,,,,,,,,,,,,,,,,,,,,,,,,
abrotanella-caespitosa,,,,,2-4mm,,,,10-15x1-1.5mm; 10mm,,,,,,,,,,,2mm,,,1m,,,,
abrotanella-fertilis,,,,,,,,,,,,,,,,,,,,,,,,,,,
abrotanella-inconspicua,,,,,3mm,,,,3cm; 6-10x1mm,,,,,,,,,,,1-2mm,,,,,,,
abrotanella-linearis,,,,,,,,,,,,,,,,,,,,,,,,,,,
abrotanella-muscosa,,,,,,,,,,,,,,,,,,,,,,,,,,,
abrotanella-patearoa,,,,,,,,,,,,,,,,,,,,,,,,,,,
abrotanella-pusilla,,,,,,,,,,,,,,,,,,,,,,,,,,,
abrotanella-rostrata,,,,,,,,,,,,,,,,,,,,,,,,,,,
anaphalioides-alpina,,,,,,,,,,,,,,,,,,,,,,,,,,,
anaphalioides-bellidioides,,,,,,,,,,,,,,,,,,,,,,,,,,,
anaphalioides-hookeri,,,,,,,,,,,,,,,,,,,,,,,,,,,
anaphalioides-subrigida,,,,,,,,,,,,,,,,,,,,,,,,,,,
anaphalioides-trinervis,,,,,,,,,,,,,,,,,,,,,,,,,,,
argyrotegium-mackayi,,,,,2-4mm,,,,,,,,,,,,,3-20x2-6mm,,1.2mm,,,10-70mm,,,,
argyrotegium-nitidulum,,,,,5-8mm,,,,,,,,,,6.0-6.2mm,,,5-12x2-4mm,,1.0-1.2mm,,,20-40mm,,,,
brachyglottis-adamsii,,,,,20mm,,,2-3mm,25-55x10-20mm,,,,,,6mm,,,10-20mm,,3.5mm,,,1m,,,,
brachyglottis-arborescens,,,,5mm,,,,,,,,,,,3mm,,,,5mm,,,,8m,,,,
brachyglottis-bellidioides,,,,,,,,,,,,,,,,,,,,,,,,,,,
brachyglottis-bidwillii,,,,,1.5cm,,,5cm,2-7.5x1-2.5cm,,,,,,5mm,,,,,3mm,,,1.5m,,,,
brachyglottis-bifistulosa,,,,15mm,30mm; 10cm; 15x1mm; 10mm,,,,20-25x1.5-2mm,,,,,,4.5mm,,,,15mm,1.5mm,,,60cm,,,,
brachyglottis-cassinioides,,,,,,,,,,,,,,,,,,,,,,,,,,,
brachyglottis-cockaynei,,,,,1cm,,,,4-6x3-4cm,,,,,,,,,2cm,,3mm,,,1m,,,,
brachyglottis-compacta,,,,,30mm,,,,20-40x10-20mm,,,,,,5mm,,,10-20mm,,3mm,,,1m,,,,
brachyglottis-elaeagnifolia,,,,,10mm,,,150mm,60-90x30-50mm,,,,,,5mm,,,50mm,,1-2mm,,,3m,,,,
brachyglottis-greyi,,,,,30mm,,,,40-80x25-45mm,,,,,,4mm,,,15-40mm,,1.5mm,,,2m,,,,
brachyglottis-haastii,,,,,20-40mm; 20mm,,,,30-150x20-60mm,,,,,,5mm,,,30-150mm,,4mm,,,,,,,
brachyglottis-hectorii,,,,20mm,50mm,,,,100-250x40-120mm,,,,,,9mm,,,40mm,20mm,4.5mm,,,4m,,,,
brachyglottis-kirkii,,,,,,,,,,,,,,,,,,,,,,,,,,,
brachyglottis-lagopus,,,,,,,,,,,,,,,,,,,,,,,,,,,
brachyglottis-laxifolia,,,,8mm,20mm,,,,20-60x10-20mm,,,,,,5mm,,,40mm,8mm,2mm,,,1m,,,,
brachyglottis-monroi,,,,,20mm,,,,20-50x5-15mm,,,,,,6mm,,,20mm,,3.5mm,,,1m,,,,
brachyglottis-perdicioides,,,,6-8mm,,,,,25-50x20mm,,,,,,5mm,,,10-15mm,6-8mm,2-2.5mm,,,1-2x1m,,,,
brachyglottis-repanda,,,,,5mm,,,,50-20mm,,,,,,2-3mm,,,80-100mm,,1-1.8mm,,,6m,,,,
brachyglottis-revoluta,,,,,20mm,,,,33-60x20-30mm,,,,,,6mm,,,10-20mm,,3mm,,,0.5m,,,,
brachyglottis-rotundifolia,,,,,,,,,,,,,,,,,,,,,,,,,,,
brachyglottis-sciadophila,,,,,,,,,2-3cm,,,,,,,,,,,,,,,,,,
brachyglottis-southlandica,,,,,20-40mm,,,,60-110x30-60mm,,,,,,5mm,,,20-150mm,,3mm,,,,,,,
brachyglottis-stewartiae,,,,,20mm,,,,70-180x20-40mm,,,,,,5mm,,,,,2mm,,,6m,,,,
brachyglottis-traversii,,,,,,,,,,,,,,,,,,,,,,,,,,,
brachyglottis-turneri,,,,,,,,20-35mm,100-200x75-155mm,,,,,,,,,300mm,,,,,2m,,,,
brachyscome-humilis,,,,,30-45mm; 0.3-0.6mm; 70mm,,,,5.0-10.0x1.0-1.5mm,,,,,,0.3mm,,,,,1.5mm,,,,,,,
brachyscome-linearis,,,,,,,,,10.0-25.0x0.5-2.0mm,,,,,,0.1mm,,,,,1.0-1.5mm,,,,,,,
brachyscome-longiscapa,,,,5mm; 8mm,,,,,12mm; 60mm; 30mm; 60mm; 3mm; 15mm; 7mm; 15mm,,,,,,0.1mm; 0.3mm,,,,5mm; 8mm,1.5mm; 2mm,,,,,,,
brachyscome-montana,,,,5mm,1cm; 5mm,,,,2-3cm; 4-8mm,,,,,,,,,,5mm,,,,,,,,
brachyscome-pinnata,,,,8-12mm,50-180mm; 15-25mm,,,,15-80x5-8mm,,,,,,,,,,8-12mm,,,,,,,,
brachyscome-radicata,,,,5mm; 8mm,,,,,12mm; 120mm; 12mm; 60mm; 3mm; 20mm,,,,,,0.1mm; 0.5mm,,,,5mm; 8mm,2.5mm; 4mm,,,,,,,
brachyscome-sinclairii,,,,6mm; 12mm; 6mm; 10mm,,,,,10mm; 45mm; 10mm; 30mm; 4mm; 15mm; 4mm; 10mm,,,,,,0.1mm; 0.3mm,,,,6mm; 12mm; 6mm; 10mm,2mm; 3mm,,,,,,,
celmisia-adamsii,,,,,,,,,,,,,,,,,,,,,,,,,,,
celmisia-alpina,,,,12mm; 5mm,15-20mm,,,,5-0.75-1mm,,,,,,5mm,,,,12mm; 5mm,2.5-3.0mm,,,60mm; 20mm,,,,
celmisia-angustifolia,,,,16mm; 6mm; 1mm,20-40mm,,,,25-50x2-6mm; 20mm,,,,,,5mm,,,,16mm; 6mm; 1mm,3mm,,,,,,,
celmisia-argentea,,,,8-10mm; 7mm,,,,,6.0-12.0x0.5-1.5mm; 6-12mm,,,,,,6mm,,,,8-10mm; 7mm,3mm,,,,,,,
celmisia-armstrongii,,,,7-8mm,,,,,0-20mm,,,,,,8mm,,,,7-8mm,4-5mm,,,,,,,
celmisia-bellidioides,,,,11mm; 6mm,20mm,,,,7-15x3-6mm,,,,,,5mm,,,,11mm; 6mm,3-4mm,,,,,,,
celmisia-bonplandii,,,,15mm; 7-8mm,30-50mm,,,,40-100x15-30mm,,,,,,6.5mm,,,10mm,15mm; 7-8mm,2.5-3.0mm,,,,,,,
celmisia-brevifolia,,,,5-6mm,20-30mm,,,,10-20x6-9mm; 10mm,,,,,,5mm,,,,5-6mm,2-3mm,,,,,,,
celmisia-clavata,,,,6-8mm; 5.8-6.0mm,15mm,,,,5-7x1mm,,,,,,5.2-6.0mm,,,,6-8mm; 5.8-6.0mm,2.6-3.0mm,,,,,,,
celmisia-cockayneana,,,,15mm; 5-6mm,20-40mm,,,,40-100x10-15mm,,,,,,6mm,,,10mm,15mm; 5-6mm,,,,,,,,
celmisia-cordatifolia,,,,,,,,,,,,,,,,,,,,,,,,,,,
celmisia-coriacea,,,,7-8mm,,,,,160-400x25-55mm,,,,,,6mm,,,,7-8mm,4.5-5.0mm,,,,,,,
celmisia-dallii,,,,15mm; 7mm,35-70mm,,,,80-200x30-50mm; 25-50x6-12mm,,,,,,7mm,,,,15mm; 7mm,2-4mm,,,800mm; 600-700mm,,,,
celmisia-densiflora,,,,15-20mm; 7-8mm; 1mm,25-40mm,,,,60-150x15-40mm; 25-40mm,,,,,,6mm,,,,15-20mm; 7-8mm; 1mm,6mm,,,,,,,
celmisia-discolor,,,,,,,,,,,,,,,,,,,,,,,,,,,
celmisia-dubia,,,,6mm,,,,,8x1.6cm,,,,,,4-7mm,,,3cm,6mm,2.5-6mm,,,,,,,
celmisia-durietzii,,,,15mm; 6-7mm,30-40mm,,,,30-60x7-10mm,,,,,,7mm,,,30mm,15mm; 6-7mm,5-6mm,,,,,,3mm,
celmisia-gibbsii,,,,15mm; 6mm,,,,,10.0-20.0x2.0-3.5mm; 4mm; 3mm,,,,,,5.5mm,,,,15mm; 6mm,2mm,,,,,,,
celmisia-glandulosa,,,,,,,,,,,,,,,,,,,,,,,,,,,
celmisia-gracilenta,,,,,,,,,,,,,,,,,,,,,,,,,,,
celmisia-graminifolia,,,,30mm; 6.0-6.5mm,30-50mm,,,,60-250x10-15mm,,,,,,5mm,,,30mm,30mm; 6.0-6.5mm,3.0-3.8mm,,,60mm,,,,
celmisia-haastii,,,,,,,,,,,,,,,,,,,,,,,,,,,
celmisia-hectorii,,,,15mm; 8-9mm,20-30mm,,,,10-25x3-10mm,,,,,,6mm,,,,15mm; 8-9mm,2.5-3.0mm,,,,,,,
celmisia-hieraciifolia,,,,,,,,,,,,,,,,,,,,,,,,,,,
celmisia-holosericea,,,,25mm; 7-8mm,50-70mm,,,,120-300x25-65mm,,,,,,5-7mm,,,,25mm; 7-8mm,5-6mm,,,,,,,
celmisia-hookeri,,,,,100mm,,,,120-400x40-90mm,,,,,,9mm,,,,,5mm,,,,,,,
celmisia-inaccessa,,,,25mm,,,,,20-60x10-20mm,,,,,,7mm,,,,25mm,2.5-3.5x1.0mm,,,,,,,
celmisia-incana,,,,12mm; 7-8mm,25-35mm,,,,20-40x10-15mm,,,,,,7-8mm,,,5mm; 10-15x7-10mm,12mm; 7-8mm,5mm,,,,,,,
celmisia-insignis,,,,7-8mm,,,,,120-270x5-7mm,,,,,,6-9mm,,,,7-8mm,5-9mm,,,,,,,
celmisia-laricifolia,,,,12mm; 5mm,10-20mm,,,,5mm,,,,,,5mm,,,,12mm; 5mm,3mm,,,150mm,,,,
celmisia-lateralis,,,,10mm,10-20mm,,,,5mm; 10mm,,,,,,5mm,,,,10mm,2-3mm,,,,,,,
celmisia-lindsayi,,,,12-15mm; 6-8mm,25-50mm,,,,100-150x15-25mm; 30mm,,,,,,6-7mm,,,5-2.5mm,12-15mm; 6-8mm,3-4mm,,,,,,,
celmisia-lyallii,,,,12-14mm; 6-7mm,25-50mm,,,,20-60x6-9mm; 30-80x10-15mm; 60cm; 10mm,,,,,,,,,,12-14mm; 6-7mm,2-3mm,,,,,,,
celmisia-mackaui,,,,,50mm,,,,100-700x15-75mm,,,,,,7mm,,,,,5mm,,,,,,,
celmisia-macmahonii,,,,,,,,,,,,,,,,,,,,,,,,,,,
celmisia-major,,,,,,,,,,,,,,,,,,,,,,,,,,,
celmisia-markii,,,,15mm,,,,,50mm,,,,,,3.5-5.0mm,,,,15mm,3-3.5mm,,,80cm,,,,
celmisia-monroi,,,,8-10mm,,,,,120-550x10-32mm,,,,,,6-10mm,,,30mm,8-10mm,3-8mm,,,,,,,
celmisia-morganii,,,,6mm,,,,,150-350x18-30mm,,,,,,6mm,,,80mm,6mm,3.0-4.5mm,,,,,,,
celmisia-parva,,,,8mm; 4-5mm,10-15mm,,,,10-30x3-10mm,,,,,,4-5mm,,,20mm,8mm; 4-5mm,1-2mm,,,,,,,
celmisia-petriei,,,,17-20mm; 6-7mm,30-40mm,,,,150-500x10-30mm; 80mm,,,,,,7mm,,,,17-20mm; 6-7mm,2-3mm,,,,,,,
celmisia-philocremna,,,,25mm,,,,,15-25x3-5mm,,,,,,6mm,,,,25mm,0.8mm,,,,,,,
celmisia-polyvena,,,,,25mm,,,,10-60x5-15mm,,,,,,,,,,,3mm,,,,,,,
celmisia-ramulosa,,,,,,,,,,,,,,,,,,,,,,,,,,,
celmisia-rupestris,,,,6mm; 3.8-4.1mm,25-30mm,,,,10-25x2.5-3.0mm; 9.0-10.0mm,,,,,,5mm,,,,6mm; 3.8-4.1mm,2.0-2.5mm,,,1m; 10mm,,,,
celmisia-rutlandii,,,,5mm,,,,,50-130x15-35mm,,,,,,5-6mm,,,6cm,5mm,3-5mm,,,,,,,
celmisia-semicordata,,,,,,,,,,,,,,,,,,,,,,,,,,,
celmisia-sessiliflora,,,,15-17mm; 8mm,10-20mm,,,,5-3.0mm,,,,,,,,,,15-17mm; 8mm,3-4mm,,,1m; 100mm,,,,
celmisia-similis,,,,10mm,10-15mm,,,,2mm,,,,,,4.5mm,,,,10mm,1.5-2.0x0.4mm,,,,,,,
celmisia-sinclairii,,,,8-12mm; 5-6mm,30-40mm,,,,50-70x15mm,,,,,,6mm,,,25x6mm,8-12mm; 5-6mm,,,,,,,,
celmisia-spectabilis,,,,,,,,,,,,,,,,,,,,,,,,,,,
celmisia-spedenii,,,,20mm,,,,,40.0-120.0x1.3-3.8mm; 35mm,,,,,,5-6mm,,,,20mm,3.0-4.5mm,,,1m,,,,
celmisia-thomsonii,,,,15mm; 5-6mm,15-20mm,,,,10-15x3-5mm,,,,,,5mm,,,3mm,15mm; 5-6mm,2.5-3.0mm,,,,,,,
celmisia-traversii,,,,,60mm,,,,50-300x15-90mm,,,,,,6-7mm,,,,,5mm,,,,,,,
celmisia-verbascifolia,,,,,,,,,,,,,,,,,,,,,,,,,,,
celmisia-vespertina,,,,20mm,,,,,50-150x3-5mm,,,,,,4mm,,,,20mm,2.0-3.0x0.5mm,,,,,,,
celmisia-viscosa,,,,10-20mm; 3-5mm,30-40mm,,,,60-150x6-9mm; 20-25x10-15mm,,,,,,5mm,,,,10-20mm; 3-5mm,3-4mm,,,,,,,
celmisia-walkeri,,,,6-7mm,20-40mm,,,,20-50x3-5mm; 15x4mm,,,,,,6mm,,,,6-7mm,5mm,,,2m; 5-15mm,,,,
centipeda-aotearoana,,,,,3-4mm,,,,4-8mm; 1.5-4mm,,,,,,,,,,,1.2-1.7mm,,,10-30cm,,,,
centipeda-cunninghamii,,,0.3-0.7mm; 0.7-0.8mm,,4-8mm,,,,7.0-30x2.5-7.0mm,,0.1mm; 0.3x0.3mm,,,,,,,,,1.2-2.0mm,,,300mm,,,,
centipeda-elatinoides,,,,0.2-0.4mm; 0.5-0.7mm; 1.2-2mm,3-5mm,,,,6-20x2.5-8mm,,,,,,,,,,0.2-0.4mm; 0.5-0.7mm; 1.2-2mm,,,,,,,,
centipeda-minima,,,,,,,,,,,,,,,,,,,,,,,,,,,
cotula-australis,,,,,,,,,,,,,,,,,,,,,,,,,,,
cotula-coronopifolia,,,,,,,,,,,,,,,,,,,,,,,,,,,
craspedia-incana,,,,,,,,,,,,,,,,,,,,,,,,,,,
craspedia-lanata,,,,,,,,,,,,,,,,,,,,,,,,,,,
craspedia-major,,,,,,,,,,,,,,,,,,,,,,,,,,,
craspedia-uniflora,,,,,,,,,,,,,,,,,,,,,,,,,,,
damnamenia-vernicosa,,,,,,,,,,,,,,,,,,,,,,,,,,,
dolichoglottis-lyallii,,,,,,,,,,,,,,,,,,,,,,,,,,,
dolichoglottis-scorzoneroides,,,,,,,,,,,,,,,,,,,,,,,,,,,
euchiton-audax,,,,,1-2mm,,,,,,,,,,,,,,,0.7mm,,,5-20cm,,,,
euchiton-delicatus,,,,,,,,,,,,,,,,,,,,,,,,,,,
euchiton-ensifer,,,,,1-2mm,,,,,,,,,,,,,,,0.8-1mm,,,20-100mm,,,,
euchiton-involucratus,,,,,,,,,,,,,,,,,,,,,,,,,,,
euchiton-japonicus,,,,,,,,,,,,,,,,,,,,,,,,,,,
euchiton-lateralis,,,,,,,,,,,,,,,,,,,,,,,,,,,
euchiton-limosus,,,,,,,,,,,,,,,,,,,,,,,,,,,
euchiton-paludosus,,,,,1mm,,,,,,,,,,,,,,,1mm,,,10-50mm,,,,
euchiton-polylepis,,,,,1-2mm,,,,5-15x4mm,,,,,,,,,,,0.7-1mm,,,1-6cm,,,,
euchiton-ruahinicus,,,,,,,,,,,,,,,,,,,,,,,,,,,
euchiton-sphaericus,,,,,,,,,,,,,,,,,,,,,,,,,,,
euchiton-traversii,,,,,,,,,,,,,,,,,,,,,,,,,,,
ewartiothamnus-sinclairii,,,,,6x4mm; 15-20mm,,,,6-10x2mm,,,,,,3mm,,,,,1mm,,,0.8m,,,,
haastia-pulvinaris,,,,,,,,,,,,,,,,,,,,,,,,,,,
haastia-recurva,,,,,,,,,,,,,,,,,,,,,,,,,,,
haastia-sinclairii,,,,,,,,,,,,,,,,,,,,,,,,,,,
helichrysum-coralloides,,,,,,,,,,,,,,,,,,,,,,,,,,,
helichrysum-depressum,,,,,,,,,,,,,,,,,,,,,,,,,,,
helichrysum-dimorphum,,,,,3.5mm,,,,5x2mm; 3x1mm,,,,,,,,,,,,,,,,,,
helichrysum-filicaule,,,,,,,,,,,,,,,,,,,,,,,,,,,
helichrysum-lanceolatum,,,,,,,,,,,,,,,,,,,,,,,,,,,
lagenophora-barkeri,,,,,,,,,,,,,,,,,,,,,,,,,,,
lagenophora-cuneata,,,,,,,,,,,,,,,,,,,,,,,,,,,
lagenophora-lanata,,,,,,,,,,,,,,,,,,,,,,,,,,,
lagenophora-montana,0.4mm; 0.3mm,,1-1.5mm,,2.5-3.5mm; 4-7mm,,,,8-14x4-6mm; 0.1-0.2mm; 4-6m; 0.2-0.4mm,,0.4-0.5x0.2-0.4mm,,0.8-1.4mm,,,,,10-17x0.4-0.6mm,,1.7-1.9x0.6-0.7mm,,0.8-1mm,,,0.5-0.8mm; 0.4-0.5mm,0.48-0.6x0.2-0.25mm,
lagenophora-petiolata,,,,,,,,,,,,,,,,,,,,,,,,,,,
lagenophora-pinnatifida,,,,,,,,,,,,,,,,,,,,,,,,,,,
lagenophora-pumila,,,,,,,,,,,,,,,,,,,,,,,,,,,
lagenophora-stipitata,,,,,,,,,,,,,,,,,,,,,,,,,,,
lagenophora-strangulata,,,,,,,,,,,,,,,,,,,,,,,,,,,
leptinella-albida,,,,2.75mm,3-10mm,,,,8mm; 4-10x2-3mm; 10-20mm,,,,,,,,,,2.75mm,1.6-0.6mm,,,1m,,,,
leptinella-atrata,,,,,,,,,,,,,,,,,,,,,,,,,,,
leptinella-calcarea,,,,2mm,3-5mm; 10mm; 4-6mm,,,,5-20mm; 10-40x3-6mm; 10-40mm; 10-40mm,,,,,,,,,,2mm,1.6x0.8mm,,,,,,,
leptinella-conjuncta,0.7-0.8mm,,1.0-1.1x0.5-0.6mm; 0.7-0.9x0.9-1.0mm,2.0-2.7mm; 2.5-2.9mm,5mm,,,,6-20x2-5mm; 20-100mm; 0.4-0.6mm,,0.1-0.2mm; 0.5-0.6mm,,1.0-1.2x0.4-0.5mm; 0.7-0.8x0.25-0.35mm,,,,,,2.0-2.7mm; 2.5-2.9mm,2.1x0.7mm,,1.0-1.2mm,,0.2mm,1.2mm; 0.1-0.15mm,1.2-1.4x0.3-0.35mm,
leptinella-dendyi,,,,3.25-4.25mm; 10mm,20mm,,,,25mm; 20-50x3-80mm; 30-80mm,,,,,,,,,,3.25-4.25mm; 10mm,2.9x0.7mm,,,,,,,
leptinella-dioica,,,,2-5mm,2-10mm; 12mm; 3-8mm,,,,3-30mm; 7-130x3-20mm; 10-60mm,,,,,,,,,,2-5mm,1.9x1mm,,,,,,,
leptinella-dispersa,,,,,,,,,,,,,,,,,,,,,,,,,,,
leptinella-filiformis,,,,,,,,,,,,,,,,,,,,,,,,,,,
